Organisationsid;Organisationsnummer;Organisationstyp;Giltighetstid;Kortnamn (sv);Kortnamn (en);Långnamn (sv);Långnamn (en);Webbadress
OD-128-1;909453;Underenhet;2018-05-01 - ;Sektionen för säkerhet;Department of security;Sektionen för säkerhet;Department of security;
OD-1-822;909180;Enhet;2013-01-01 - ;Kommunikationsenheten;Communication Unit;Kommunikationsenheten;Communication Unit;
OD-66-1;909185;Underenhet;2017-07-01 - ;Sekt f red inne, evenemang, studkomm;Sect of content, event, stud comm;Sektionen för redaktionellt innehåll, evenemang och studentkommunikation;Section of Content, Events and Student Communication;
OD-67-1;909186;Underenhet;2017-07-01 - ;Sekt f dialog, design o dig medier;Sect of Dialogue, Design, Dig Media;Sektionen för dialog, design och digitala medier;Section of Dialogue, Design and Digital Media;
OD-432-1;909190;Enhet;2022-09-01 - ;GU fastighet och hållbar utveckling;Property and sustainable development;GU fastighet och hållbar utveckling;Property and sustainable development;
OD-432-2;909191;Underenhet;2022-09-01 - ;GU fastighet stab;Property office;GU fastighet stab;Property office;
OD-432-4;909192;Underenhet;2022-09-01 - ;Sektionen för lokalsamordning;Coordination;Sektionen för lokalsamordning;Coordination;
OD-432-3;909193;Underenhet;2022-09-01 - ;Sektionen för lokalplanering;Planning;Sektionen för lokalplanering;Planning;
OD-470-1;909194;Underenhet;2023-01-01 - ;Sektionen för hållbarhet;Sustainability;Sektionen för hållbarhet;Sustainability;
OD-1-881;909255;Enhet;2013-01-01 - ;IT-enhet;IT;IT-enheten;IT;
OD-1-841;909251;Underenhet;2013-01-01 - ;IT-stöd till forskning och utbildning;IT for Research and Education;IT-stöd till forskning och utbildning;IT for Research and Education;
OD-1-854;909256;Underenhet;2013-01-01 - ;IT-infrastruktur;IT Operations;IT-infrastruktur;IT Operations;
OD-1-830;909257;Underenhet;2013-01-01 - ;IT-support;Service Desk and Operation Bridge;IT-support;Service Desk and Operation Bridge;
OD-1-836;909258;Underenhet;2016-04-01 - ;IT-säkerhet, förvaltning och avtal;IT-säkerhet, förvaltning och avtal;IT-säkerhet, förvaltning och avtal;IT-säkerhet, förvaltning och avtal;
OD-196-1;909259;Underenhet;2019-04-01 - ;IT-Utveckling;IT-System Development;IT-Utveckling;IT-System Development;
OD-493-1;909261;Underenhet;2023-03-01 - ;Digital arbetsplats;Digital workplace;Sektionen för Digital arbetsplats;The Section for Digital workplace;
OD-519-1;909262;Underenhet;2023-07-01 - ;Stöd till digitalisering;Digitalisation support;Sektionen för stöd till digitalisering;The section for support for digitalisation;
OD-1-843;909270;Enhet;2013-01-01 - ;Utbildningsenheten;Educational Affairs;Utbildningsenheten;Educational Affairs;
OD-1-844;909271;Underenhet;2013-01-01 - ;Sektionen för examen;Section of Degrees;Sektionen för examen;Section of Degrees;https://studentportalen.gu.se/kontaktexamen   https://studentportalen.gu.se/contactdegrees
OD-1-902;909272;Underenhet;2013-01-01 - ;Sek f antagning;Admission;Sektionen för antagning;Admission;
OD-572-1;909273;Underenhet;2024-03-01 - ;Sektionen för tentamen;Section for Examination Services;Sektionen för tentamen;Section for Examination Services;
OD-1-878;909274;Underenhet;2013-01-01 - ;Sek f studieadministrativa system;Student Records;Sektionen för studieadministrativa system;Student Records;
OD-1-823;909276;Underenhet;2013-01-01 - ;Sek f student- och utbildningsstöd;Student and Educational Support;Sektionen för student- och utbildningsstöd;Student and Educational Support;
OD-1-876;909410;Enhet;2013-01-01 - ;Enh. för juridik och info.förv.;Legal and info. management unit;Enheten för juridik och informationsförvaltning;Legal and information management unit;
OD-212-1;909411;Underenhet;2019-08-31 - ;Sektionen för förvaltningsjuridik;Section of Administrative Law;Sektionen för förvaltningsjuridik;Section of Administrative Law;
OD-1-883;909436;Underenhet;2014-11-01 - ;Sektionen för arkiv och registratur;Records Management Section;Sektionen för arkiv och registratur;Records Management section;
OD-367-1;909412;Enhet;2021-10-01 - ;Gemensamma förvaltningens kansli;Central University Admin Office;Gemensamma förvaltningens kansli;Central University Administration Office;
OD-376-1;909413;Enhet;2021-12-01 - ;Universitetsledningens stab;Vice Chancellors Office;Universitetsledningens stab;Vice Chancellors Office;
OD-1-903;909421;Enhet;2013-01-01 - ;International centre;International Centre;International Centre;International Centre;
OD-1-916;909422;Enhet;2013-04-01 - ;Forsknings- o innovationskontoret;Research & Innovation Services;Forsknings- och innovationskontoret;Research & Innovation Services;
OD-1-126;98;HR-system - organisation;2004-01-01 - ;Övrigt;;Övrigt;;
OD-1-125;99;HR-system - organisation;2004-01-01 - ;Chefskrets;;Chefskrets;;
OD-1-2;8888;HR-system - organisation;1998-01-01 - ;Okänd institution;Unknown department;Okänd institution;Unknown department;
OD-1-910;909160;Övrig enhet;2013-01-01 - ;Internrevision;Internal Audit;Internrevisionen;Internal Audit;
