Orgid;Orgnr;Förälder orgnr
OD-64-1;107832;107820
OD-65-1;107833;107820
OD-78-1;107834;107820
OD-79-1;107835;107820
OD-1-103;11;00
OD-1-104;119025;11
OD-1-747;14;00
OD-1-739;149029;14
OD-1-740;15;00
OD-1-525;159028;15
OD-1-719;16;00
OD-1-752;169030;16
OD-1-842;17;00
OD-1-870;179031;17
OD-1-914;18;00
OD-1-915;189006;18
OD-1-755;19;00
OD-1-758;199033;19
OD-1-1;20000;
OD-1-535;25;00
OD-73-1;259990;25
OD-73-2;259991;259990
OD-1-735;30;00
OD-1-727;300004;30
OD-1-677;81;00
OD-1-2;8888;20000
OD-1-871;90;00
OD-1-824;909151;90
OD-1-808;909151A;909151
OD-1-905;909152;90
OD-1-821;909155;909152
OD-1-845;909157;909152
OD-1-846;909158;909152
OD-1-910;909160;20000
OD-1-909;909170;90
OD-415-1;909171;909170
OD-1-850;909172;909170
OD-1-779;909173;909170
OD-1-849;909175;909170
OD-1-822;909180;90
OD-66-1;909185;909180
OD-67-1;909186;909180
OD-432-1;909190;90
OD-432-2;909191;909190
OD-432-4;909192;909190
OD-432-3;909193;909190
OD-470-1;909194;909190
OD-1-841;909251;909255
OD-1-881;909255;90
OD-1-854;909256;909255
OD-1-830;909257;909255
OD-1-836;909258;909255
OD-196-1;909259;909255
OD-493-1;909261;909255
OD-519-1;909262;909255
OD-1-843;909270;90
OD-1-844;909271;909270
OD-1-902;909272;909270
OD-572-1;909273;909270
OD-572-2;909273A;909273
OD-1-878;909274;909270
OD-1-823;909276;909270
OD-2-1;909276A;909276
OD-2-2;909276F;909276
OD-1-876;909410;90
OD-212-1;909411;909410
OD-367-1;909412;90
OD-376-1;909413;90
OD-1-903;909421;90
OD-1-916;909422;90
OD-1-880;909432;909151
OD-1-904;909433;909151
OD-1-777;909434;909151
OD-260-1;909435;909151
OD-1-883;909436;909410
OD-566-1;909437;909151
OD-1-848;909443;909170
OD-1-760;909443A;909443
OD-1-920;909443B;909443
OD-1-887;909443C;909443
OD-1-827;909444;909170
OD-1-761;909444A;909444
OD-1-860;909444B;909444
OD-1-861;909444C;909444
OD-1-778;909445;909170
OD-1-862;909445A;909445
OD-1-762;909445B;909445
OD-1-763;909445C;909445
OD-1-911;909446;909170
OD-1-764;909446A;909446
OD-1-863;909446B;909446
OD-1-765;909446C;909446
OD-1-886;909449;909170
OD-128-1;909453;909170
OD-1-126;98;00
OD-1-125;99;00
